1;122;989319-457;2018-04-08;3813.33;3813.33;0;3;2018-05-08;2018-05-07
2;123;263253241;2018-04-10;40.2;40.2;0;3;2018-05-10;2018-05-14
3;123;963253234;2018-04-13;138.75;138.75;0;3;2018-05-13;2018-05-09
4;123;2-000-2993;2018-04-16;144.7;144.7;0;3;2018-05-16;2018-05-12
5;123;963253251;2018-04-16;15.5;15.5;0;3;2018-05-16;2018-05-11
6;123;963253261;2018-04-16;42.75;42.75;0;3;2018-05-16;2018-05-21
7;123;963253237;2018-04-21;172.5;172.5;0;3;2018-05-21;2018-05-22
8;89;125520-1;2018-04-24;95;95;0;1;2018-05-04;2018-05-01
9;121;97/488;2018-04-24;601.95;601.95;0;3;2018-05-24;2018-05-21
10;123;263253250;2018-04-24;42.67;42.67;0;3;2018-05-24;2018-05-22
11;123;963253262;2018-04-25;42.5;42.5;0;3;2018-05-25;2018-05-20
12;96;I77271-O01;2018-04-26;662;662;0;2;2018-05-16;2018-05-13
13;95;111-92R-10096;2018-04-30;16.33;16.33;0;2;2018-05-20;2018-05-23
14;115;25022117;2018-05-01;6;6;0;4;2018-06-10;2018-06-10
15;48;P02-88D77S7;2018-05-03;856.92;856.92;0;3;2018-06-02;2018-05-30
16;97;21-4748363;2018-05-03;9.95;9.95;0;2;2018-05-23;2018-05-22
17;123;4-321-2596;2018-05-05;10;10;0;3;2018-06-04;2018-06-05
18;123;963253242;2018-05-06;104;104;0;3;2018-06-05;2018-06-05
19;34;QP58872;2018-05-07;116.54;116.54;0;1;2018-05-17;2018-05-19
20;115;24863706;2018-05-10;6;6;0;4;2018-06-19;2018-06-15
21;119;10843;2018-05-11;4901.26;4901.26;0;2;2018-05-31;2018-05-29
22;123;963253235;2018-05-11;108.25;108.25;0;3;2018-06-10;2018-06-09
23;97;21-4923721;2018-05-13;9.95;9.95;0;2;2018-06-02;2018-05-28
24;113;77290;2018-05-13;1750;1750;0;5;2018-07-02;2018-07-05
25;123;963253246;2018-05-13;129;129;0;3;2018-06-12;2018-06-09
26;123;4-342-8069;2018-05-14;10;10;0;3;2018-06-13;2018-06-13
27;88;972110;2018-05-15;207.78;207.78;0;1;2018-05-25;2018-05-27
28;123;963253263;2018-05-16;109.5;109.5;0;3;2018-06-15;2018-06-10
29;108;121897;2018-05-19;450;450;0;4;2018-06-28;2018-07-03
30;123;1-200-5164;2018-05-20;63.4;63.4;0;3;2018-06-19;2018-06-24
31;104;P02-3772;2018-05-21;7125.34;7125.34;0;3;2018-06-20;2018-06-24
32;121;97/486;2018-05-21;953.1;953.1;0;3;2018-06-20;2018-06-22
33;105;94007005;2018-05-23;220;220;0;3;2018-06-22;2018-06-26
34;123;963253232;2018-05-23;127.75;127.75;0;3;2018-06-22;2018-06-18
35;107;RTR-72-3662-X;2018-05-25;1600;1600;0;4;2018-07-04;2018-07-09
36;121;97/465;2018-05-25;565.15;565.15;0;3;2018-06-24;2018-06-24
37;123;963253260;2018-05-25;36;36;0;3;2018-06-24;2018-06-26
38;123;963253272;2018-05-26;61.5;61.5;0;3;2018-06-25;2018-06-30
39;110;0-2058;2018-05-28;37966.19;37966.19;0;3;2018-06-27;2018-06-30
40;121;97/503;2018-05-30;639.77;639.77;0;3;2018-06-29;2018-06-25
41;123;963253255;2018-05-31;53.75;53.75;0;3;2018-06-30;2018-06-27
42;123;94007069;2018-05-31;400;400;0;3;2018-06-30;2018-07-01
43;72;40318;2018-06-01;21842;21842;0;3;2018-07-01;2018-06-29
44;95;111-92R-10094;2018-06-01;19.67;19.67;0;2;2018-06-21;2018-06-24
45;122;989319-437;2018-06-01;2765.36;2765.36;0;3;2018-07-01;2018-06-28
46;37;547481328;2018-06-03;224;224;0;3;2018-07-03;2018-07-04
47;83;31359783;2018-06-03;1575;1575;0;2;2018-06-23;2018-06-21
48;123;1-202-2978;2018-06-03;33;33;0;3;2018-07-03;2018-07-05
49;95;111-92R-10097;2018-06-04;16.33;16.33;0;2;2018-06-24;2018-06-26
50;37;547479217;2018-06-07;116;116;0;3;2018-07-07;2018-07-07
51;122;989319-477;2018-06-08;2184.11;2184.11;0;3;2018-07-08;2018-07-08
52;34;Q545443;2018-06-09;1083.58;1083.58;0;1;2018-06-19;2018-06-23
53;95;111-92R-10092;2018-06-09;46.21;46.21;0;2;2018-06-29;2018-07-02
54;121;97/553B;2018-06-10;313.55;313.55;0;3;2018-07-10;2018-07-09
55;123;963253245;2018-06-10;40.75;40.75;0;3;2018-07-10;2018-07-12
56;86;367447;2018-06-11;2433;2433;0;1;2018-06-21;2018-06-17
